"Nom des communes ou EPCI ayant un service de police municipale (par ordre alphabétique, chef-lieu de département en majuscule)",SUM de Nombre d’agents de police municipale,SUM de Nombre d’habitants de la commune
Ambes,0,3200
Bouliac,1,3770
Saint-Louis-de-Montferrand,1,2160
Carbon-Blanc,2,8500
Parempuyre,2,10244
Ambares et Lagrave,3,16595
Artigues-près-Bordeaux,3,8722
Martignas-sur-Jalle,3,8000
Blanquefort,4,15185
Eysines,4,24374
Le Haillan,4,11728
Le Taillan-Médoc,4,10000
Saint-Aubin-de-Médoc,4,7500
Bègles,5,30543
Bassens,6,8000
Le Bouscat,6,24006
Bruges,9,20 000
Floirac,9,19000
Gradignan,9,26500
Saint Médard en Jalles,11,32866
Villenave-D’ornon,11,40500
Lormont,12,23291
Cenon,14,26000
Talence,16,45355
Pessac,28,66760
Mérignac,29,76500
BORDEAUX,170,266887
Total général,370,836186
