Nom des communes ou EPCI ayant un service de police municipale,SUM de Nombre d’agents de police municipale,SUM de Nombre d’habitants de la commune
 AMBES,0,3072
 BOULIAC,1,3776
 SAINT-LOUIS-DE-MONTFERRAND,1,2176
 CARBON-BLANC,2,8000
 AMBARES-ET-LAGRAVE,3,16719
 ARTIGUES-PRES-BORDEAUX,3,8700
 EYSINES,3,24488
 LE HAILLAN,3,11201
 MARTIGNAS-SUR-JALLE,3,7500
 PAREMPUYRE,3,10000
 BEGLES,4,30991
 BLANQUEFORT,4,15510
 LE TAILLAN-MEDOC,4,10286
 SAINT-AUBIN-DE-MEDOC,4,7600
BASSENS      ,5,7464
 LE BOUSCAT,6,24000
 BRUGES,7,19590
 FLOIRAC,8,17885
 GRADIGNAN,8,26000
 SAINT-MEDARD-EN-JALLES,8,32052
 CENON,11,24000
 LORMONT,11,23796
 VILLENAVE-D'ORNON,11,37629
 TALENCE,12,44799
 MÉRIGNAC,23,72000
 PESSAC,28,66004
 BORDEAUX,164,264767
Total général,340,820005
