Nom des communes ou EPCI ayant un service de police municipale,SUM de Nombre d’agents de police municipale,SUM de Nombre d’habitants de la commune
Ambes,0,3144
Bouliac,1,3720
Saint-Louis-De-Montferrand,1,2161
Carbon-Blanc,2,8500
Ambares Et Lagrave,3,16792
Artigues-près-Bordeaux,3,8700
Blanquefort,3,15862
Parempuyre,3,9850
Bègles,4,30642
Eysines,4,24488
Le Haillan,4,11201
Le Taillan-Médoc,4,10416
Martignas-sur-Jalle,4,8000
Saint-Aubin-De-Médoc,4,7700
Bruges,5,20000
Bassens,6,8000
Gradignan,8,26000
Le Bouscat,8,24000
Lormont,8,23200
Saint Médard en Jalles,9,32052
Floirac,10,19000
Villenave-D’ornon,10,38444
Cenon,14,26000
Talence,14,45000
Mérignac,25,75000
Pessac,28,63000
BORDEAUX,163,264506
Total général,348,825378
