commune,lat,lng,2020,2021,2022,2023,2024
Ambares Et Lagrave,44.9244,-0.4851,3,3,3,3,5
Ambes,45.0131,-0.5314,0,0,0,0,0
Artigues Pres Bordeaux,44.8598,-0.4951,3,3,3,3,3
Bassens,44.9039,-0.5172,4,5,6,6,6
Begles,44.8078,-0.5494,4,4,4,5,5
Blanquefort,44.9111,-0.6381,4,4,3,4,4
Bordeaux,44.8378,-0.5792,135,164,163,170,177
Bouliac,44.8133,-0.5011,1,1,1,1,1
Bruges,44.8825,-0.6122,7,7,5,9,9
Carbon Blanc,44.8953,-0.5064,2,2,2,2,2
Cenon,44.8572,-0.5322,10,11,14,14,14
Eysines,44.8844,-0.6503,3,3,4,4,5
Floirac,44.8372,-0.5244,12,8,10,9,8
Gradignan,44.7722,-0.6172,6,8,8,9,9
Le Bouscat,44.8653,-0.5994,6,6,8,6,8
Le Haillan,44.8722,-0.6781,3,3,4,4,4
Le Taillan Medoc,44.9053,-0.6694,4,4,4,4,4
Lormont,44.8789,-0.5222,9,11,8,12,12
Martignas Sur Jalle,44.8411,-0.7761,3,3,4,3,3
Merignac,44.8386,-0.6472,24,23,25,29,28
Parempuyre,44.9494,-0.6053,3,3,3,2,2
Pessac,44.8061,-0.6311,19,28,28,28,28
Saint Aubin De Medoc,44.9122,-0.7231,3,4,4,4,4
Saint Louis De Montferrand,44.9522,-0.5411,1,1,1,1,1
Saint Medard En Jalles,44.8961,-0.7181,6,8,9,11,12
Saint Vincent De Paul,44.9544,-0.4694,0,0,0,0,0
Talence,44.8011,-0.5903,12,12,14,16,16
Villenave D Ornon,44.7733,-0.5672,12,11,10,11,17
