commune,lat,lng,agents_2024,population,densite
Ambarès-et-Lagrave,44.944,-0.501,5,17500,0.29
Ambès,45.011270,-0.532190,0,3291,0.0
Artigues-près-Bordeaux,44.860,-0.490,3,9500,0.32
Bassens,44.908,-0.526,6,8200,0.73
Bègles,44.802,-0.548,5,30642,0.16
Blanquefort,44.923,-0.612,4,17419,0.23
Bordeaux,44.857,-0.574,177,266887,0.66
Bouliac,44.816,-0.505,1,4800,0.21
Bruges,44.889,-0.600,9,21000,0.43
Carbon-Blanc,44.902,-0.501,2,8500,0.24
Cenon,44.857800,-0.531700,14,26600,0.53
Eysines,44.880,-0.648,5,24436,0.2
Floirac,44.834,-0.521,8,19000,0.42
Gradignan,44.771,-0.616,9,26000,0.35
Le Bouscat,44.866,-0.602,8,24339,0.33
Le Haillan,44.869,-0.684,4,12507,0.32
Le Taillan-Médoc,44.911,-0.681,4,10500,0.38
Lormont,44.877,-0.520,12,24000,0.5
Martignas-sur-Jalle,44.845,-0.796,3,8500,0.35
Mérignac,44.832,-0.682,28,76000,0.37
Parempuyre,44.950,-0.583333,2,10407,0.19
Pessac,44.805830,-0.630386,28,66000,0.42
Saint-Aubin-de-Médoc,44.913056,-0.724167,4,7800,0.51
Saint-Louis-de-Montferrand,44.958274,-0.533093,1,2113,0.47
Saint-Médard-en-Jalles,44.895295,-0.718100,12,33239,0.36
Saint-Vincent-de-Paul,44.974,-0.481,0,0,0
Talence,44.806,-0.591,16,45869,0.35
Villenave-d’Ornon,44.773,-0.558,0,0,0
