datepublication;nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBénéficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPériodeVersement;idRAE;notificationUE;pourcentageSubvention;date_deb;date_fin;objet_reuse;montant_reuse
2024-04-04;BORDEAUX METROPOLE;24330031600011;2024-02-21;2024/77;OTCBM;78180455400017;aide au fonctionnement;3740000;aide en numéraire;échelonné;2024-02-21/2024-08-21;sans objet;non;1.00;2024-02-21;;Autre objet;Supérieur à 500 000€
2024-04-04;BORDEAUX METROPOLE;24330031600011;2024-03-14;2024/81;Villa Valmont;84937825200019;aide au fonctionnement;40000;aide en numéraire;échelonné;2024-03-14/2024-09-14;sans objet;non;1.00;2024-03-14;;Autre objet;Entre 30 000€ et 100 000€
2024-09-02;BORDEAUX METROPOLE;24330031600011;2024-05-07;2024/189;Escales Littéraires de Bordeaux Aquitaine;34426475900046;Escale du Livre;150000;aide en numéraire;échelonné;2024-05-07/2024-11-07;sans objet;non;1.00;2024-05-07;;Autre objet;Entre 100 000€ et 500 000€
2024-09-02;BORDEAUX METROPOLE;24330031600011;2024-05-20;2024/155;France Active Nouvelle Aquitaine;82101368700024;aide au fonctionnement;50000;aide en numéraire;échelonné;2024-05-20/2024-11-20;sans objet;non;1.00;2024-05-20;;Autre objet;Entre 30 000€ et 100 000€
2024-09-02;BORDEAUX METROPOLE;24330031600011;2024-06-14;2024/155;ADIE;35221687300211;aide au fonctionnement;43000;aide en numéraire;échelonné;2024-06-14/2024-12-14;sans objet;non;1.00;2024-06-14;;Autre objet;Entre 30 000€ et 100 000€
2024-09-02;BORDEAUX METROPOLE;24330031600011;2024-06-07;2024/148;Bordeax Aquitaine Inno'Vin;49874718700025;aide au fonctionnement;40000;aide en numéraire;échelonné;2024-06-07/2024-12-07;sans objet;non;1.00;2024-06-07;;Autre objet;Entre 30 000€ et 100 000€
2024-09-02;BORDEAUX METROPOLE;24330031600011;2024-06-26;2024/179;GIHP;31231100400039;aide au fonctionnement;30000;aide en numéraire;échelonné;2024-06-26/2024-12-26;sans objet;non;1.00;2024-06-26;;Autre objet;Inférieur à 30 000€
2020-01-23;BORDEAUX METROPOLE;24330031600000;2020-01-02;2019/748;ASSOCIATION ESPRIT DE CORPS;42008956700000;codev;20000;aide en numéraire;échelonné;2020-01-02/2020-07-02;sans objet;non;1.00;2020-01-02;;Autre objet;Inférieur à 30 000€
2020-04-08;BORDEAUX METROPOLE;24330031600000;2020-03-03;2020/63;AGEC & CO;49848483100000;SMAC agglo scènes musiques actuelles;14250;aide en numéraire;échelonné;2020-03-03/2020-09-03;sans objet;non;1.00;2020-03-03;;Autre objet;Inférieur à 30 000€
2020-04-08;BORDEAUX METROPOLE;24330031600000;2020-03-26;2020/132;LA FABRIQUE POLA;44433758800000;Fonctionnement;114000;aide en numéraire;échelonné;2020-03-26/2020-09-26;sans objet;non;1.00;2020-03-26;;Fonctionnement;Entre 100 000€ et 500 000€
2020-06-02;BORDEAUX METROPOLE;24330031600000;2020-02-20;2020/112;LE PARTENARIAT;32500114700000;Appel à projet international solidarité eau;29000;aide en numéraire;échelonné;2020-02-20/2020-08-20;sans objet;non;1.00;2020-02-20;;Autre objet;Inférieur à 30 000€
2020-08-25;BORDEAUX METROPOLE;24330031600000;2020-06-25;2020/BM 0402;MUSIQUES DE NUIT DIFFUSION;34169319000000;Les inédits de l'été E.M.;28000;aide en numéraire;échelonné;2020-06-25/2020-12-25;sans objet;non;1.00;2020-06-25;;Autre objet;Inférieur à 30 000€
2020-12-01;BORDEAUX METROPOLE;24330031600000;2020-11-26;2020/397;CRISTOPH HUTIN ARCHITECTURE;79739136400000;Biennale archi Venise;37500;aide en numéraire;unique;2020-11-26/2021-05-26;sans objet;non;1.00;2020-11-26;;Autre objet;Entre 30 000€ et 100 000€
2020-06-02;BORDEAUX METROPOLE;24330031600000;2020-02-20;2020/112;ASSOCIATION EAU POUR LA VIE;50449400600000;AP international solidarité eau BENIN;50000;aide en numéraire;échelonné;2020-02-20/2020-08-20;sans objet;non;1.00;2020-02-20;;Autre objet;Entre 30 000€ et 100 000€
